,Sno,Title,URL,Img_URL,Summary
0,0,"Priority Covid-19 testing for residents and staff in elderly homes, staff to be housed on site or in hotels",https://www.straitstimes.com/singapore/priority-covid-19-testing-for-residents-and-staff-in-elderly-homes-staff-to-be-housed-on,https://www.straitstimes.com/sites/default/files/styles/borealis_retina_large_respondxl2/public/articles/2020/05/02/ycnursing020520.jpg?itok=ZUc5NxTw,"These include nursing homes, welfare homes, sheltered homes and adult disability homes.SINGAPORE - Testing for the coronavirus will be prioritised for residents and staff in all homes serving the elderly.Six nursing homes in Singapore, including the Lee Ah Mooi Old Age Home, have been hit by the coronavirus so far.These are among additional support measures to be implemented for all homes serving the elderly, in order to protect vulnerable seniors.MOH will also provide support for nursing homes to enhance on-site accommodation spaces to improve safe distancing, where necessary."
1,1,"Schools to bring back small groups of students from May 19, with focus on graduating cohorts",https://www.straitstimes.com/singapore/education/coronavirus-schools-to-bring-back-small-groups-of-students-from-may-19-with,https://www.straitstimes.com/sites/default/files/styles/borealis_retina_large_respondxl2/public/articles/2020/05/02/fhschoolss02.jpg?itok=V1yqxl4U,"Minister for National Development Lawrence Wong, who co-chairs the task force, said they would focus on the graduating cohorts taking national examinations.They will meet teachers one-to-one, or in small groups.SINGAPORE - From May 19, schools may start bringing students in small groups for face-to-face lessons as circuit breaker measures slowly ease up, said the multi-ministry task force tackling Covid-19 in a press conference on Saturday (May 2).From June, depending on the situation then, the task force will review how much further schools can open up and how many more students can return.""It's a small group,"" he said, adding that this will be done with safe distancing measures and that the students will be kept in separate groups within cohorts."
2,2,"Singapore confirms 447 new coronavirus cases, taking total to 17,548",https://www.straitstimes.com/singapore/coronavirus-447-new-cases-confirmed-on-saturday-taking-total-to-17548,https://www.straitstimes.com/sites/default/files/styles/borealis_retina_large_respondxl2/public/articles/2020/05/02/ycdorm020520.jpg?itok=d2RAoQQq,"SINGAPORE - There were 447 new coronavirus cases confirmed as of noon on May 2, the Ministry of Health (MOH) announced in a media release.This takes the total number of cases here to 17,548.

Businesses like barbers, home-based bakers and laundry services will be allowed to resume operating on May 12, while some measures will also be adjusted next week.The vast majority of the new cases are work permit holders in foreign worker dormitories.There were four Singaporeans and permanent residents among the new cases."
3,3,Why Music Matters: Singaporean conductor Kahchun Wong brings classical music to children,https://www.straitstimes.com/videos/singaporean-conductor-kahchun-wong-brings-classical-music-to-children,https://www.straitstimes.com/sites/default/files/styles/borealis_retina_large_respondxl2/public/media-brightcove/6152775917001.jpg?itok=pnIAR3h6,"SINGAPORE - With an aim to share their love of music with children, Singaporean conductor Kahchun Wong and Marina Mahler - the granddaughter of renowned composer Gustav Mahler - founded Project Infinitude.The first episode of the seven-part digital series Why Music Matters offers a glimpse of the activities and impact of Project Infinitude.Together with Child at Street 11 - a charity and pre-school for children from diverse and under-resourced backgrounds - the project provides an inclusive space for children to explore classical music.Wong was introduced to music by his maths teacher and he wants to provide a similar opportunity for other kids.Wong has been the chief conductor of Germany's Nuremberg Symphony Orchestra since 2018, yet he has always made time to return to Singapore to work with the children every other month."
4,4,What is allowed with the easing of tightened Covid-19 circuit breaker measures from May 5,https://www.straitstimes.com/singapore/coronavirus-timeline-on-what-is-allowed-with-the-easing-of-tightened-circuit-breaker,https://www.straitstimes.com/sites/default/files/styles/borealis_retina_large_respondxl2/public/articles/2020/05/02/rk_hairsalon_020520.jpg?itok=ppkiBX6b,"SINGAPORE - Hair salons, cake shops and home-based food preparation businesses are among those allowed to operate as Singapore progressively eases tightened circuit breaker measures from May 5.These selected companies are likely the ones that were allowed to operate before tightened circuit breaker measures were introduced two weeks ago.They may be open for takeaway and delivery only.

- Home-based food businesses, but only for delivery or collection.Cupping, moxibustion, guasha and tuina manipulative therapies are excluded.

- The sale of retail products by TCM halls with registered TCM practitioners.Residents living there can use areas such as footpaths, but must continue to practise safe distancing measures."
5,5,"'No point' in being scared out in the ocean, says S'porean sailor stranded for a month by Covid-19 lockdown",https://www.straitstimes.com/singapore/no-point-in-being-scared-out-in-the-ocean-says-stranded-sporean-sailor,https://www.straitstimes.com/sites/default/files/styles/borealis_retina_large_respondxl2/public/articles/2020/05/02/ycsailor020520.jpg?itok=jv-zdtby,"But the 59-year-old, who wanted to be known only as Mr Wong, told The Straits Times he felt he did not have the option of panicking.Mr Wong, who owns a furnishing manufacturing company in Singapore, had set sail on Feb 2 with two friends.Despite the unfortunate turn of events, Mr Wong is still keen on continuing his planned expedition.The sailor was eventually led ashore to Fiji by a Fijian navy patrol boat on April 29, after over a month out at sea.""For now, I will stay here, spend the time to repair my yacht, and explore the Fiji mainland,"" said Mr Wong, adding this was his first time there."
6,6,Action will be taken against Twitter user who made offensive posts to stoke racial tensions: Shanmugam,https://www.straitstimes.com/singapore/action-will-be-taken-against-twitter-user-who-made-offensive-posts-to-stoke-racial,https://www.straitstimes.com/sites/default/files/styles/borealis_retina_large_respondxl2/public/articles/2020/05/02/ycshan020520.jpg?itok=w9hjMQbo,"SINGAPORE - Action will be taken against a man who made insulting posts about Indians and Covid-19 on Twitter under the handle @sharonliew86 some weeks ago, said Law and Home Affairs Minister K. Shanmugam.Mr Shanmugam said the ""nasty posts"" were done ""deliberately to stoke anger, unhappiness (and) racial tensions"".He also remarked in a Facebook post on Saturday (May 2) that the person behind the post was neither female nor Chinese as the name ""Sharon Liew"" had implied.Bedok Police Division officers have identified the Twitter user @sharonliew86 - a 34-year-old man who is believed to have been involved in two other cases involving offensive tweets.

Promoting enmity between different groups on grounds of race can bring jail terms of up to three years and fines."
