,Sno,Title,URL,Img_URL,Summary
0,0,Tightened circuit breaker measures extended for another week; some activities allowed to resume from May 5,https://www.straitstimes.com/singapore/some-singapore-businesses-to-reopen-from-may-5-as-circuit-breaker-measures-eased,https://www.straitstimes.com/sites/default/files/styles/borealis_retina_large_respondxl4/public/articles/2020/05/02/nz_collages_020520.jpg?itok=u0_Tfrbl,"[u""SINGAPORE - Singapore's tightened circuit breaker measures will remain in place for another week, with\xa0businesses like barbers, home-based bakers and laundry services allowed to resume operating on May 12."", u'However, they would still have to abide by the precautions in place before April 21, when Singapore further tightened its circuit breaker measures.', u'Singapore entered its circuit breaker period on April 7, which is due to last until May 4.', u'On April 21, Prime Minister Lee Hsien Loong announced an extension to the circuit breaker period to June 1, which came with more stringent safe distancing measures.', u'Then from May 12, selected businesses such as barbers, home-based businesses and laundry services will be allowed to resume operation.']"
1,1,"Schools to bring back small groups of students from May 19, with focus on graduating cohorts",https://www.straitstimes.com/singapore/education/coronavirus-schools-to-bring-back-small-groups-of-students-from-may-19-with,https://www.straitstimes.com/sites/default/files/styles/borealis_retina_large_respondxl2/public/articles/2020/05/02/fhschoolss02.jpg?itok=V1yqxl4U,"[u'Minister for National Development Lawrence Wong, who co-chairs the task force, said they would focus on the graduating cohorts taking national examinations.', u'They will meet teachers one-to-one, or in small groups.', u'SINGAPORE - From May 19, schools may start bringing students in small groups for face-to-face lessons as circuit breaker measures slowly ease up, said the multi-ministry task force tackling Covid-19 in a press conference on Saturday (May 2).', u'From June, depending on the situation then, the task force will review how much further schools can open up and how many more students can return.', u'""It\'s a small group,"" he said, adding that this will be done with safe distancing measures and that the students will be kept in separate groups within cohorts.']"
2,2,"Coronavirus: Singapore confirms 447 new cases, taking total to 17,548",https://www.straitstimes.com/singapore/coronavirus-447-new-cases-confirmed-on-saturday-taking-total-to-17548,https://www.straitstimes.com/sites/default/files/styles/borealis_retina_large_respondxl2/public/articles/2020/05/02/ycdorm020520.jpg?itok=d2RAoQQq,"[u'SINGAPORE - There were 447 new coronavirus cases confirmed as of noon on May 2, the Ministry of Health (MOH) announced in a media release.', u'This takes the total number of cases here to 17,548.', u'\n\nBusinesses like barbers, home-based bakers and laundry services will be allowed to resume operating on May 12, while some measures will also be adjusted next\xa0week.', u'The vast majority of the new cases are work permit holders in foreign worker dormitories.', u'There were four Singaporeans and permanent residents among the new cases.']"
3,3,Progress Singapore Party expels member who made video claiming it had been infiltrated and funded by foreign proxies,https://www.straitstimes.com/singapore/progress-singapore-party-expels-member-who-made-video-claiming-it-had-been-infiltrated-and,https://www.straitstimes.com/sites/default/files/styles/borealis_retina_large_respondxl2/public/articles/2020/05/02/kc-psp0205.jpg?itok=O-PtFLap,"[u'SINGAPORE - The Progress Singapore Party (PSP) on Friday (May 1) expelled a member who made a video in the style of hacktivist group Anonymous in which he claims the party has been infiltrated and funded by foreign sources.', u'ST PHOTO: JASON QUAH \n\n\n\n""Upon the completion of internal investigations, the Progress Singapore Party has decided on the expulsion of this member.', u'This is the second time in as many months in which a PSP member has been expelled amid a police investigation.', u'Mr Teo told ST he made the video after receiving information from a third party, which he declined to name.', u'The Straits Times understands that police reports have been made by some of those named, including Mr Raymond and PSP member Ravi Philemon.']"
4,4,Why Music Matters: Singaporean conductor Kahchun Wong brings classical music to children,https://www.straitstimes.com/videos/singaporean-conductor-kahchun-wong-brings-classical-music-to-children,https://www.straitstimes.com/sites/default/files/styles/borealis_retina_large_respondxl2/public/media-brightcove/6152775917001.jpg?itok=pnIAR3h6,"[u'SINGAPORE -\xa0With an aim to share their love of music with children, Singaporean conductor Kahchun Wong and Marina Mahler -\xa0the granddaughter of renowned composer Gustav Mahler -\xa0founded Project Infinitude.', u'The first episode of the seven-part digital series Why Music Matters offers a glimpse of the activities and impact of Project Infinitude.', u'Together with Child at Street 11 -\xa0a charity and pre-school for children from diverse and under-resourced backgrounds -\xa0the project provides an inclusive space for children to explore classical music.', u'Wong was introduced to music by his maths teacher and he wants to provide a similar opportunity for other kids.', u""Wong has been the chief conductor of Germany's Nuremberg Symphony Orchestra since 2018, yet he has always made time to return to Singapore to work with the children every other month.""]"
5,5,What is allowed with the easing of tightened Covid-19 circuit breaker measures from May 5,https://www.straitstimes.com/singapore/coronavirus-timeline-on-what-is-allowed-with-the-easing-of-tightened-circuit-breaker,https://www.straitstimes.com/sites/default/files/styles/borealis_retina_large_respondxl2/public/articles/2020/05/02/rk_hairsalon_020520.jpg?itok=ppkiBX6b,"[u'SINGAPORE - Hair salons, cake shops and home-based food preparation businesses are among those allowed to operate as Singapore progressively eases tightened circuit-breaker measures from May 5.', u'These selected companies are likely the ones that were allowed to operate before tightened circuit breaker measures were introduced two weeks ago.', u'They may be open for takeaway and delivery only.\n\n- Home-based food businesses, but only for delivery or collection.', u'Cupping, moxibustion, guasha and tuina manipulative therapies are excluded.\n\n- The sale of retail products by TCM halls with registered TCM practitioners.', u'Residents living there can use areas such as footpaths, but must continue to practise safe distancing measures.']"
